categories,title,description,url,snapshot
agents_extensions;agent_sdk,Plugins in the SDK,"Load custom plugins to extend Claude Code with skills, agents, hooks, and MCP servers through the Agent SDK",https://code.claude.com/docs/en/agent-sdk/plugins.md,2026-08-02
agents_extensions;agent_sdk,Scale to many tools with tool search,"Scale your agent to thousands of tools by discovering and loading only what's needed, on demand.",https://code.claude.com/docs/en/agent-sdk/tool-search.md,2026-08-02
agents_extensions;agent_sdk,Securely deploying AI agents,"A guide to securing Claude Code and Agent SDK deployments with isolation, credential management, and network controls",https://code.claude.com/docs/en/agent-sdk/secure-deployment.md,2026-08-02
agents_extensions;agent_sdk,Use Claude Code features in the SDK,"Load project instructions, skills, hooks, and other Claude Code features into your SDK agents.",https://code.claude.com/docs/en/agent-sdk/claude-code-features.md,2026-08-02
agents_extensions;agent_sdk,Work with sessions,"How sessions persist agent conversation history, and when to use continue, resume, and fork to return to a prior run.",https://code.claude.com/docs/en/agent-sdk/sessions.md,2026-08-02
agents_extensions;execution_verification,Common workflows,"Step-by-step guides for exploring codebases, fixing bugs, refactoring, testing, and other everyday tasks with Claude Code.",https://code.claude.com/docs/en/common-workflows.md,2026-08-02
agents_extensions;security,Configure the sandboxed Bash tool,"Learn how Claude Code's sandboxed Bash tool provides filesystem and network isolation for safer, more autonomous agent execution.",https://code.claude.com/docs/en/sandboxing.md,2026-08-02
agents_extensions;security;agent_sdk,Configure permissions,"Control how your agent uses tools with permission modes, hooks, and declarative allow/deny rules.",https://code.claude.com/docs/en/agent-sdk/permissions.md,2026-08-02
agents_extensions;security;agent_sdk,Handle approvals and user input,"Surface Claude's approval requests and clarifying questions to users, then return their decisions to the SDK.",https://code.claude.com/docs/en/agent-sdk/user-input.md,2026-08-02
core,Best practices for Claude Code,"Tips and patterns for getting the most out of Claude Code, from configuring your environment to scaling across parallel sessions.",https://code.claude.com/docs/en/best-practices.md,2026-08-02
core,Escalate hard decisions with the advisor tool,Pair your main model with a stronger advisor model that Claude consults at key moments during a task.,https://code.claude.com/docs/en/advisor.md,2026-08-02
core,Model configuration,"Learn about the Claude Code model configuration, including model aliases like `opusplan`",https://code.claude.com/docs/en/model-config.md,2026-08-02
execution_verification,Checkpointing,"Track, rewind, and summarize Claude's edits and conversation to manage session state.",https://code.claude.com/docs/en/checkpointing.md,2026-08-02
execution_verification,Keep Claude working toward a goal,Set a completion condition with /goal and Claude keeps working across turns until the condition is met.,https://code.claude.com/docs/en/goal.md,2026-08-02
execution_verification,Let Claude use your computer from the CLI,"Enable computer use in the Claude Code CLI so Claude can open apps, click, type, and see your screen on macOS. Test native apps, debug visual issues, and automate GUI-only tools without leaving your terminal.",https://code.claude.com/docs/en/computer-use.md,2026-08-02
execution_verification,Use Claude Code with Chrome,"Connect Claude Code to your Chrome browser to test web apps, debug with console logs, automate form filling, and extract data from web pages.",https://code.claude.com/docs/en/chrome.md,2026-08-02
prompt_context,Claude Code settings,"Configure Claude Code with global and project-level settings, and environment variables.",https://code.claude.com/docs/en/settings.md,2026-08-02
prompt_context,How Claude remembers your project,"Give Claude persistent instructions with CLAUDE.md files, and let Claude accumulate learnings automatically with auto memory.",https://code.claude.com/docs/en/memory.md,2026-08-02
prompt_context,Output styles,Adapt Claude Code for uses beyond software engineering,https://code.claude.com/docs/en/output-styles.md,2026-08-02
prompt_context;agents_extensions,Create custom subagents,Create and use specialized AI subagents in Claude Code for task-specific workflows and improved context management.,https://code.claude.com/docs/en/sub-agents.md,2026-08-02
prompt_context;agents_extensions,Debug your configuration,"Diagnose why CLAUDE.md, settings, hooks, MCP servers, or skills aren't taking effect. Use /context, /doctor, /hooks, and /mcp to see what actually loaded.",https://code.claude.com/docs/en/debug-your-config.md,2026-08-02
prompt_context;agents_extensions,Explore the .claude directory,"Where Claude Code reads CLAUDE.md, settings.json, hooks, skills, commands, subagents, workflows, rules, and auto memory. Explore the .claude directory in your project and ~/.claude in your home directory.",https://code.claude.com/docs/en/claude-directory.md,2026-08-02
prompt_context;agents_extensions;agent_sdk,How the agent loop works,"Understand the message lifecycle, tool execution, context window, and architecture that power your SDK agents.",https://code.claude.com/docs/en/agent-sdk/agent-loop.md,2026-08-02
prompt_context;agents_extensions;agent_sdk,Modifying system prompts,"Choose between the `claude_code` preset and a custom system prompt, and customize behavior with CLAUDE.md, output styles, append, or a fully custom prompt.",https://code.claude.com/docs/en/agent-sdk/modifying-system-prompts.md,2026-08-02
prompt_context;agents_extensions;agent_sdk,Subagents in the SDK,"Define and invoke subagents to isolate context, run tasks in parallel, and apply specialized instructions in your Claude Agent SDK applications.",https://code.claude.com/docs/en/agent-sdk/subagents.md,2026-08-02
prompt_context;agents_extensions;execution_verification,Explore the context window,"An interactive simulation of how Claude Code's context window fills during a session. See what loads automatically, what each file read costs, and when rules and hooks fire.",https://code.claude.com/docs/en/context-window.md,2026-08-02
prompt_context;agents_extensions;execution_verification,Manage costs effectively,"Track token usage, set team spend limits, and reduce Claude Code costs with context management, model selection, extended thinking settings, and preprocessing hooks.",https://code.claude.com/docs/en/costs.md,2026-08-02
security,Choose a permission mode,"Control whether Claude asks before editing files or running commands. Cycle modes with Shift+Tab in the CLI or use the mode selector in VS Code, Desktop, and claude.ai.",https://code.claude.com/docs/en/permission-modes.md,2026-08-02
security,Configure permissions,"Control what Claude Code can access and do with fine-grained permission rules, modes, and managed policies.",https://code.claude.com/docs/en/permissions.md,2026-08-02
security,Security,Learn about Claude Code's security safeguards and best practices for safe usage.,https://code.claude.com/docs/en/security.md,2026-08-02
